session_id,teacher_question_professionalism,teacher_question_structuring,teacher_question_context,teacher_answer_customization,teacher_answer_systematicity,teacher_answer_expandability,teacher_context_dialogue,teacher_context_support,teacher_question_total,teacher_answer_total,teacher_context_total,teacher_overall
38,3.5,4.0,1.5,3.5,4.5,1.0,4.0,1.5,9.0,9.0,5.5,23.5
40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,9.0
41,2.5,3.5,1.5,3.0,4.5,1.0,3.0,1.0,7.5,8.5,4.0,20.0
44,2.5,1.5,1.0,3.0,3.0,2.0,4.0,1.5,5.0,8.0,5.5,18.5
46,2.5,2.0,1.0,1.0,1.0,1.0,1.5,1.0,5.5,3.0,2.5,11.0
47,2.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,4.5,3.0,2.5,10.0
48,3.5,3.5,1.5,4.0,4.5,1.5,4.0,2.0,8.5,10.0,6.0,24.5
50,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,5.0,3.0,2.5,10.5
51,3.5,3.5,1.0,3.0,5.0,3.0,4.5,2.5,8.0,11.0,7.0,26.0
53,3.0,3.0,1.0,4.0,4.5,3.0,4.0,3.0,7.0,11.5,7.0,25.5
60,3.5,4.5,1.5,4.0,4.5,2.5,4.0,2.0,9.5,11.0,6.0,26.5
66,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,3.0,3.0,2.5,8.5
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
74,3.5,5.0,3.0,4.5,3.5,2.0,5.0,2.5,11.5,10.0,7.5,29.0
75,3.5,3.0,1.5,4.0,3.5,1.5,4.0,2.5,8.0,9.0,6.5,23.5
78,4.0,5.0,1.5,3.5,3.5,3.0,3.0,3.0,10.5,10.0,6.0,26.5
83,2.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,5.0,3.5,3.0,11.5
91,4.0,3.5,1.5,4.5,5.0,3.5,4.0,3.0,9.0,13.0,7.0,29.0
92,2.5,3.0,1.0,4.0,4.5,4.0,2.0,3.0,6.5,12.5,5.0,24.0
95,3.5,3.5,1.0,3.5,3.5,1.5,1.5,1.5,8.0,8.5,3.0,19.5
97,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,11.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.0,3.0,2.5,8.5
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
111,3.5,3.5,4.0,5.0,3.5,1.5,5.0,4.0,11.0,10.0,9.0,30.0
112,2.5,3.0,1.0,2.5,2.5,1.0,1.5,1.5,6.5,6.0,3.0,15.5
116,4.0,5.0,1.5,4.0,5.0,2.0,4.0,2.0,10.5,11.0,6.0,27.5
123,2.5,3.5,1.5,3.5,4.0,2.5,3.5,2.5,7.5,10.0,6.0,23.5
125,4.0,4.5,2.5,5.0,4.0,3.0,4.5,4.0,11.0,12.0,8.5,31.5
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
130,3.5,4.0,1.5,3.5,3.0,1.0,3.0,1.0,9.0,7.5,4.0,20.5
133,2.5,3.5,1.5,3.5,4.0,1.5,4.0,2.0,7.5,9.0,6.0,22.5
139,4.0,4.0,2.5,4.5,4.0,2.0,4.5,3.5,10.5,10.5,8.0,29.0
142,3.5,4.0,1.5,3.5,3.5,2.5,4.0,3.5,9.0,9.5,7.5,26.0
143,4.0,3.5,2.5,2.5,2.0,1.5,4.0,1.0,10.0,6.0,5.0,21.0
147,3.5,2.5,2.5,3.5,4.0,1.0,4.0,1.0,8.5,8.5,5.0,22.0
150,2.5,3.0,1.0,3.5,4.5,2.0,2.5,1.5,6.5,10.0,4.0,20.5
155,4.0,3.5,2.0,4.0,3.5,1.0,4.0,1.0,9.5,8.5,5.0,23.0
157,4.0,5.0,1.5,3.5,4.0,1.5,4.0,2.0,10.5,9.0,6.0,25.5
159,2.5,2.0,1.5,4.0,5.0,2.0,2.0,3.0,6.0,11.0,5.0,22.0
160,4.0,4.5,3.5,4.5,4.0,1.0,2.0,1.0,12.0,9.5,3.0,24.5
172,3.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,7.0,9.0,6.0,22.0
179,4.0,5.0,1.5,4.0,4.0,1.0,4.0,1.0,10.5,9.0,5.0,24.5
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
203,2.0,2.5,1.0,1.5,2.5,1.5,1.5,1.0,5.5,5.5,2.5,13.5
206,2.0,2.5,1.5,3.5,4.5,2.0,4.0,2.0,6.0,10.0,6.0,22.0
213,3.5,4.0,1.5,3.5,3.0,1.0,3.0,1.0,9.0,7.5,4.0,20.5
223,2.5,3.0,1.5,4.0,3.0,1.5,4.0,2.0,7.0,8.5,6.0,21.5
227,1.0,1.0,1.0,2.5,2.5,1.5,3.0,2.0,3.0,6.5,5.0,14.5
228,3.0,2.0,2.0,4.0,3.0,1.5,4.0,2.0,7.0,8.5,6.0,21.5
234,4.0,5.0,1.5,4.0,3.0,1.0,3.5,1.5,10.5,8.0,5.0,23.5
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
237,3.5,3.5,1.5,4.0,4.0,1.5,3.0,1.5,8.5,9.5,4.5,22.5
238,3.5,4.0,1.5,3.0,2.5,1.0,2.5,1.0,9.0,6.5,3.5,19.0
239,2.5,3.0,1.5,4.0,3.0,1.0,3.5,1.5,7.0,8.0,5.0,20.0
240,4.0,4.0,1.5,4.0,4.5,2.0,4.0,2.5,9.5,10.5,6.5,26.5
246,2.0,2.5,1.0,2.0,2.5,1.0,2.0,1.0,5.5,5.5,3.0,14.0
248,2.5,3.0,1.5,3.0,3.0,1.0,2.5,2.0,7.0,7.0,4.5,18.5
252,4.0,5.0,2.5,4.5,4.0,2.0,5.0,2.5,11.5,10.5,7.5,29.5
253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
254,4.0,4.0,1.5,3.5,3.0,1.0,3.0,1.0,9.5,7.5,4.0,21.0
257,2.0,2.0,1.0,2.0,2.0,1.0,1.5,1.0,5.0,5.0,2.5,12.5
264,3.5,5.0,2.0,3.0,4.0,1.5,3.5,2.5,10.5,8.5,6.0,25.0
276,1.5,1.5,1.5,1.5,2.0,1.0,4.5,1.0,4.5,4.5,5.5,14.5
281,4.0,4.0,1.5,3.0,3.0,1.0,4.0,1.0,9.5,7.0,5.0,21.5
283,4.0,4.5,1.5,3.0,3.5,1.0,2.0,2.5,10.0,7.5,4.5,22.0
284,4.0,5.0,1.5,4.5,3.0,1.5,4.0,2.5,10.5,9.0,6.5,26.0
285,4.0,5.0,1.5,4.5,4.5,2.0,4.0,3.0,10.5,11.0,7.0,28.5
292,4.0,4.0,1.5,4.0,2.5,1.0,4.0,1.0,9.5,7.5,5.0,22.0
293,2.5,2.0,1.0,3.0,4.0,1.5,3.5,1.5,5.5,8.5,5.0,19.0
296,1.5,2.0,1.0,3.0,2.0,1.0,1.5,1.0,4.5,6.0,2.5,13.0
300,4.0,5.0,2.0,4.5,4.0,2.0,4.0,3.0,11.0,10.5,7.0,28.5
301,3.5,4.5,1.5,4.5,3.5,1.0,4.5,1.0,9.5,9.0,5.5,24.0
302,2.0,1.0,1.0,2.5,3.0,1.0,2.0,1.0,4.0,6.5,3.0,13.5
303,4.0,5.0,2.5,4.5,3.5,2.5,4.0,2.5,11.5,10.5,6.5,28.5
306,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,9.0
310,3.0,4.0,2.0,4.0,3.0,2.0,3.5,2.5,9.0,9.0,6.0,24.0
311,3.0,2.5,2.0,3.5,3.5,2.5,4.0,3.5,7.5,9.5,7.5,24.5
315,2.5,2.5,1.0,3.0,2.5,1.0,4.0,1.0,6.0,6.5,5.0,17.5
317,4.0,5.0,1.5,4.0,4.5,1.5,4.0,2.5,10.5,10.0,6.5,27.0
321,1.0,1.5,1.0,3.5,4.0,1.5,1.5,1.5,3.5,9.0,3.0,15.5
324,4.0,5.0,2.0,4.0,3.0,1.0,4.0,1.0,11.0,8.0,5.0,24.0
326,4.0,5.0,1.5,2.5,3.0,1.0,4.0,1.0,10.5,6.5,5.0,22.0
337,3.5,4.0,1.5,4.5,4.0,1.5,5.0,3.0,9.0,10.0,8.0,27.0
338,4.0,5.0,1.5,4.0,3.0,1.0,4.0,1.0,10.5,8.0,5.0,23.5
339,4.5,5.0,1.5,4.5,4.0,3.0,3.5,2.0,11.0,11.5,5.5,28.0
341,3.5,4.0,1.5,3.0,3.5,1.5,3.5,2.0,9.0,8.0,5.5,22.5
349,1.5,2.5,1.5,1.5,1.0,1.0,1.0,1.0,5.5,3.5,2.0,11.0
350,3.0,3.5,1.5,4.0,4.0,1.5,5.0,1.5,8.0,9.5,6.5,24.0
352,3.5,2.5,1.0,3.5,2.5,1.5,3.5,3.0,7.0,7.5,6.5,21.0
355,4.0,4.5,2.0,4.0,3.0,2.5,3.0,2.0,10.5,9.5,5.0,25.0
357,3.5,3.0,1.5,4.0,4.0,2.0,4.0,2.0,8.0,10.0,6.0,24.0
359,4.0,5.0,1.5,3.5,3.5,2.0,4.5,3.0,10.5,9.0,7.5,27.0
364,3.5,3.0,1.0,4.5,4.0,2.0,4.0,2.5,7.5,10.5,6.5,24.5
365,4.0,4.0,1.5,4.5,3.0,1.5,5.0,2.5,9.5,9.0,7.5,26.0
367,4.0,4.5,2.0,2.0,4.0,1.5,5.0,1.5,10.5,7.5,6.5,24.5
369,4.0,5.0,2.0,4.0,3.0,2.0,4.0,1.0,11.0,9.0,5.0,25.0
371,4.0,5.0,1.5,4.0,3.5,2.0,4.0,2.0,10.5,9.5,6.0,26.0
374,5.0,5.0,2.5,4.0,4.0,1.0,3.5,2.0,12.5,9.0,5.5,27.0
380,3.0,3.0,2.0,3.5,4.0,2.0,3.0,1.0,8.0,9.5,4.0,21.5
