id,conversation_session_id,evaluated_by,student_id,question_professionalism_score,question_structuring_score,question_context_application_score,answer_customization_score,answer_systematicity_score,answer_expandability_score,context_dialogue_coherence_score,context_learning_support_score,overall_score,question_total_score,response_total_score,context_total_score
824,72,96,60,1,1,1,1,1,1,1,1,8,3,3,2
826,374,96,54,5,5,3,5,4,1,4,2,29,13,10,6
827,234,96,68,4,5,2,5,3,1,4,2,26,11,9,6
825,338,96,68,4,5,2,4,3,1,5,1,25,11,8,6
828,100,96,57,1,1,1,1,1,1,1,1,8,3,3,2
829,339,96,72,4,5,2,5,4,3,5,3,31,11,12,8
830,51,96,48,3,2,1,5,5,4,5,4,29,6,14,9
836,196,96,58,1,1,1,1,1,1,1,1,8,3,3,2
831,44,96,40,2,1,1,4,4,3,5,2,22,4,11,7
832,203,96,58,3,4,1,2,4,2,2,1,19,8,8,3
833,155,96,59,4,3,3,5,3,1,5,1,25,10,9,6
834,237,96,70,4,5,2,5,4,2,2,1,25,11,11,3
835,292,96,38,4,3,2,5,3,1,5,1,24,9,9,6
837,239,96,66,3,5,2,5,3,1,5,1,25,10,9,6
838,179,96,52,4,5,2,5,4,1,5,1,27,11,10,6
839,349,96,38,2,4,2,2,1,1,1,1,14,8,4,2
840,337,96,70,4,5,2,5,4,2,5,5,32,11,11,10
841,147,96,54,4,3,3,3,5,1,5,1,25,10,9,6
842,380,96,44,4,3,2,4,3,2,5,1,24,9,9,6
843,317,96,30,4,5,2,5,5,2,5,4,32,11,12,9
844,371,96,48,4,5,2,5,4,3,5,3,31,11,12,8
845,142,96,71,3,3,2,4,4,3,5,5,29,8,11,10
846,60,96,54,3,4,2,5,5,4,5,3,31,9,14,8
847,206,96,61,1,2,2,5,4,3,5,2,24,5,12,7
848,264,96,30,4,5,2,3,4,2,5,3,28,11,9,8
849,357,96,40,3,2,2,4,4,2,5,3,25,7,10,8
850,38,96,33,3,3,2,4,5,1,5,2,25,8,10,7
851,97,96,70,3,2,1,1,1,1,1,1,11,6,3,2
852,301,96,35,3,4,2,5,4,1,5,1,25,9,10,6
853,364,96,48,4,4,1,5,4,2,5,3,28,9,11,8
854,359,96,36,4,5,2,4,4,2,5,3,29,11,10,8
856,296,96,38,1,1,1,3,2,1,2,1,12,3,6,3
855,326,96,75,4,5,2,2,3,1,5,1,23,11,6,6
857,159,96,68,4,3,2,3,5,3,3,4,27,9,11,7
858,66,96,44,1,1,1,1,1,1,1,1,8,3,3,2
859,95,96,72,3,3,1,3,3,2,2,2,19,7,8,4
860,284,96,45,4,5,2,5,3,2,5,4,30,11,10,9
861,276,96,50,2,2,2,2,3,1,5,1,18,6,6,6
862,116,96,65,4,5,2,5,5,3,5,3,32,11,13,8
863,123,96,37,4,5,2,5,5,4,5,4,34,11,14,9
864,285,97,43,4,5,1,4,5,1,3,1,24,10,10,4
865,143,97,71,4,5,1,3,3,1,3,1,21,10,7,4
866,206,97,61,3,3,1,2,5,1,3,2,20,7,8,5
867,367,97,50,4,5,1,2,3,1,5,1,22,10,6,6
868,337,97,70,3,3,1,4,4,1,5,1,22,7,9,6
869,72,97,60,1,1,1,1,1,1,1,1,8,3,3,2
870,116,97,65,4,5,1,3,5,1,3,1,23,10,9,4
871,357,97,40,4,4,1,4,4,2,3,1,23,9,10,4
872,235,97,73,1,1,1,1,1,1,1,1,8,3,3,2
873,213,97,58,4,5,1,3,3,1,3,1,21,10,7,4
874,284,97,45,4,5,1,4,3,1,3,1,22,10,8,4
875,326,97,75,4,5,1,3,3,1,3,1,21,10,7,4
876,374,97,54,5,5,2,3,4,1,3,2,25,12,8,5
877,179,97,52,4,5,1,3,4,1,3,1,22,10,8,4
878,97,97,70,3,2,1,1,1,1,1,1,11,6,3,2
879,306,97,38,1,1,1,1,1,1,3,1,10,3,3,4
880,44,97,40,3,2,1,2,2,1,3,1,15,6,5,4
881,228,97,21,3,3,1,3,3,1,3,1,18,7,7,4
882,253,97,73,1,1,1,1,1,1,1,1,8,3,3,2
883,303,97,34,4,5,1,4,3,2,3,1,23,10,9,4
884,196,97,58,1,1,1,1,1,1,1,1,8,3,3,2
885,41,97,35,4,5,1,3,5,1,3,1,23,10,9,4
886,341,97,36,4,5,1,3,4,1,3,1,22,10,8,4
888,98,97,68,1,1,1,1,1,1,1,2,9,3,3,3
892,317,97,30,4,5,1,3,4,1,3,1,22,10,8,4
887,324,97,75,4,5,1,3,3,1,3,1,21,10,7,4
889,60,97,54,4,5,1,3,4,1,3,1,22,10,8,4
890,46,97,24,4,3,1,1,1,1,2,1,14,8,3,3
891,238,97,69,4,5,1,3,3,1,3,1,21,10,7,4
893,281,97,44,4,5,1,3,3,1,3,1,21,10,7,4
894,199,97,64,1,1,1,1,1,1,1,1,8,3,3,2
895,150,97,61,3,5,1,4,5,2,3,1,24,9,11,4
896,248,97,71,3,5,1,3,3,1,3,1,20,9,7,4
897,371,97,48,4,5,1,3,3,1,3,1,21,10,7,4
899,338,97,68,4,5,1,4,3,1,3,1,22,10,8,4
901,66,97,44,1,1,1,1,1,1,2,1,9,3,3,3
898,40,97,37,1,1,1,1,1,1,3,1,10,3,3,4
900,223,97,61,3,3,1,3,3,1,3,1,18,7,7,4
902,100,97,57,1,1,1,1,1,1,1,1,8,3,3,2
903,133,97,47,4,5,1,4,5,1,5,1,26,10,10,6
904,112,97,73,4,5,1,4,4,1,2,2,23,10,9,4
905,53,97,47,4,4,1,3,4,1,3,1,21,9,8,4
906,157,97,62,4,5,1,3,4,1,3,1,22,10,8,4
907,296,97,38,2,3,1,3,2,1,1,1,14,6,6,2
908,359,97,36,4,5,1,3,3,2,4,3,25,10,8,7
909,257,97,78,3,3,1,3,3,1,2,1,17,7,7,3
910,252,97,76,4,5,1,4,4,1,5,1,25,10,9,6
911,234,97,68,4,5,1,3,3,1,3,1,21,10,7,4
912,38,97,33,4,5,1,3,4,1,3,1,22,10,8,4
913,355,97,24,4,5,1,3,3,1,3,1,21,10,7,4
914,310,97,74,4,5,1,3,2,1,3,1,20,10,6,4
917,155,97,59,4,4,1,3,4,1,3,1,21,9,8,4
918,78,97,42,4,5,1,2,3,2,1,1,19,10,7,2
919,91,97,67,4,5,1,4,5,3,5,1,28,10,12,6
920,48,97,39,4,5,1,3,4,1,3,1,22,10,8,4
921,365,97,49,4,5,1,4,3,1,5,1,24,10,8,6
922,301,97,35,4,5,1,4,3,1,4,1,23,10,8,5
923,47,97,41,3,2,1,1,1,1,2,1,12,6,3,3
924,240,97,89,4,5,1,3,5,1,3,1,23,10,9,4
925,92,97,66,2,4,1,3,4,3,1,1,19,7,10,2
926,237,97,70,3,2,1,3,4,1,4,2,20,6,8,6
929,74,97,35,3,5,1,4,3,1,5,1,23,9,8,6
927,292,97,38,4,5,1,3,2,1,3,1,20,10,6,4
928,95,97,72,4,4,1,4,4,1,1,1,20,9,9,2
930,75,97,36,4,4,1,4,2,1,5,1,22,9,7,6
931,130,97,49,4,5,1,3,3,1,3,1,21,10,7,4
932,315,97,46,4,4,1,4,4,1,5,1,24,9,9,6
933,160,97,43,4,5,2,4,4,1,3,1,24,11,9,4
934,300,97,43,4,5,1,4,3,1,3,1,22,10,8,4
935,254,97,69,4,5,1,3,3,1,3,1,21,10,7,4
936,51,97,48,4,5,1,1,5,2,4,1,23,10,8,5
937,276,97,50,1,1,1,1,1,1,4,1,11,3,3,5
938,50,97,42,3,3,1,1,1,1,2,1,13,7,3,3
939,246,97,65,3,4,1,3,4,1,3,1,20,8,8,4
940,352,97,90,4,4,1,2,1,1,2,1,16,9,4,3
941,369,97,46,4,5,1,3,3,1,3,1,21,10,7,4
942,339,97,72,5,5,1,4,4,3,2,1,25,11,11,3
943,380,97,44,2,3,2,3,5,2,1,1,19,7,10,2
944,364,97,48,3,2,1,4,4,2,3,2,21,6,10,5
945,111,97,29,4,4,3,5,4,1,5,4,30,11,10,9
946,83,97,35,3,2,2,1,1,1,1,1,12,7,3,2
948,159,97,68,1,1,1,5,5,1,1,2,17,3,11,3
949,239,97,66,2,1,1,3,3,1,2,2,15,4,7,4
950,321,97,48,1,2,1,5,5,2,2,2,20,4,12,4
947,283,97,30,4,4,1,3,4,1,2,3,22,9,8,5
951,302,97,38,3,1,1,4,5,1,3,1,19,5,10,4
952,139,97,53,4,5,2,4,5,2,4,3,29,11,11,7
953,264,97,30,3,5,2,3,4,1,2,2,22,10,8,4
954,147,97,54,3,2,2,4,3,1,3,1,19,7,8,4
955,311,97,74,4,3,2,4,4,2,3,3,25,9,10,6
956,172,97,47,4,4,1,4,4,2,5,3,27,9,10,8
957,125,97,35,4,4,2,5,4,1,4,3,27,10,10,7
958,203,97,58,1,1,1,1,1,1,1,1,8,3,3,2
960,227,97,61,1,1,1,3,3,2,4,3,18,3,8,7
961,142,97,71,4,5,1,3,3,2,3,2,23,10,8,5
963,123,97,37,1,2,1,2,3,1,2,1,13,4,6,3
964,349,97,38,1,1,1,1,1,1,1,1,8,3,3,2
959,350,97,40,4,5,2,5,5,2,5,2,30,11,12,7
962,128,97,24,1,1,1,1,1,1,1,1,8,3,3,2
965,285,96,43,4,5,2,5,4,3,5,5,33,11,12,10
966,252,96,76,4,5,4,5,4,3,5,4,34,13,12,9
967,303,96,34,4,5,4,5,4,3,5,4,34,13,12,9
968,281,96,44,4,3,2,3,3,1,5,1,22,9,7,6
969,125,96,35,4,5,3,5,4,5,5,5,36,12,14,10
970,352,96,90,3,1,1,5,4,2,5,5,26,5,11,10
971,157,96,62,4,5,2,4,4,2,5,3,29,11,10,8
972,78,96,42,4,5,2,5,4,4,5,5,34,11,13,10
975,92,96,66,3,2,1,5,5,5,3,5,29,6,15,8
977,300,96,43,4,5,3,5,5,3,5,5,35,12,13,10
978,306,96,38,1,1,1,1,1,1,1,1,8,3,3,2
973,53,96,47,2,2,1,5,5,5,5,5,30,5,15,10
974,369,96,46,4,5,3,5,3,3,5,1,29,12,11,6
976,91,96,67,4,2,2,5,5,4,3,5,30,8,14,8
979,48,96,39,3,2,2,5,5,2,5,3,27,7,12,8
980,50,96,42,1,1,1,1,1,1,1,1,8,3,3,2
981,293,97,24,4,3,1,4,4,1,5,1,23,8,9,6
982,223,96,61,2,3,2,5,3,2,5,3,25,7,10,8
983,112,96,73,1,1,1,1,1,1,1,1,8,3,3,2
984,240,96,89,4,3,2,5,4,3,5,4,30,9,12,9
985,143,96,71,4,2,4,2,1,2,5,1,21,10,5,6
986,324,96,75,4,5,3,5,3,1,5,1,27,12,9,6
987,228,96,21,3,1,3,5,3,2,5,3,25,7,10,8
988,160,96,43,4,4,5,5,4,1,1,1,25,13,10,2
989,74,96,35,4,5,5,5,4,3,5,4,35,14,12,9
990,133,96,47,1,2,2,3,3,2,3,3,19,5,8,6
992,365,96,49,4,3,2,5,3,2,5,4,28,9,10,9
993,283,96,30,4,5,2,3,3,1,2,2,22,11,7,4
995,248,96,71,2,1,2,3,3,1,2,3,17,5,7,5
996,139,96,53,4,3,3,5,3,2,5,4,29,10,10,9
999,253,96,73,1,1,1,1,1,1,1,1,8,3,3,2
991,350,96,40,2,2,1,3,3,1,5,1,18,5,7,6
994,311,96,74,2,2,2,3,3,3,5,4,24,6,9,9
997,355,96,24,4,4,3,5,3,4,3,3,29,11,12,6
998,46,96,24,1,1,1,1,1,1,1,1,8,3,3,2
1000,98,96,68,1,1,1,1,1,1,1,1,8,3,3,2
1001,254,96,69,4,3,2,4,3,1,3,1,21,9,8,4
1002,310,96,74,2,3,3,5,4,3,4,4,28,8,12,8
1003,367,96,50,4,4,3,2,5,2,5,2,27,11,9,7
1004,130,96,49,3,3,2,4,3,1,3,1,20,8,8,4
1005,47,96,41,1,1,1,1,1,1,1,1,8,3,3,2
1006,341,96,36,3,3,2,3,3,2,4,3,23,8,8,7
1007,199,96,64,1,1,1,1,1,1,1,1,8,3,3,2
1008,128,96,24,1,1,1,1,1,1,1,1,8,3,3,2
1009,257,96,78,1,1,1,1,1,1,1,1,8,3,3,2
1010,172,96,47,2,2,1,2,4,2,3,1,17,5,8,4
1011,41,96,35,1,2,2,3,4,1,3,1,17,5,8,4
1012,246,96,65,1,1,1,1,1,1,1,1,8,3,3,2
1013,302,96,38,1,1,1,1,1,1,1,1,8,3,3,2
1014,150,96,61,2,1,1,3,4,2,2,2,17,4,9,4
1015,235,96,73,1,1,1,1,1,1,1,1,8,3,3,2
1016,238,96,69,3,3,2,3,2,1,2,1,17,8,6,3
1017,213,96,58,3,3,2,4,3,1,3,1,20,8,8,4
1023,293,96,24,1,1,1,2,4,2,2,2,15,3,8,4
1018,227,96,61,1,1,1,2,2,1,2,1,11,3,5,3
1019,40,96,37,1,1,1,1,1,1,1,1,8,3,3,2
1020,321,96,48,1,1,1,2,3,1,1,1,11,3,6,2
1021,83,96,35,1,1,1,1,2,1,2,2,11,3,4,4
1022,315,96,46,1,1,1,2,1,1,3,1,11,3,4,4
1024,111,96,29,3,3,5,5,3,2,5,4,30,11,10,9
1025,75,96,36,3,2,2,4,5,2,3,4,25,7,11,7
