id,session_id,evaluator,overall,q_total,r_total,c_total,q1,q2,q3,r1,r2,r3,c1,c2
1054,38,93,14,6,6,2,3,2,1,3,2,1,1,1
850,38,96,25,8,10,7,3,3,2,4,5,1,5,2
912,38,97,22,10,8,4,4,5,1,3,4,1,3,1
1038,40,93,8,3,3,2,1,1,1,1,1,1,1,1
1019,40,96,8,3,3,2,1,1,1,1,1,1,1,1
898,40,97,10,3,3,4,1,1,1,1,1,1,3,1
788,41,93,17,7,8,2,3,2,2,2,5,1,1,1
1011,41,96,17,5,8,4,1,2,2,3,4,1,3,1
885,41,97,23,10,9,4,4,5,1,3,5,1,3,1
1064,44,93,14,3,7,4,1,1,1,3,3,1,3,1
831,44,96,22,4,11,7,2,1,1,4,4,3,5,2
880,44,97,15,6,5,4,3,2,1,2,2,1,3,1
1082,46,93,8,3,3,2,1,1,1,1,1,1,1,1
998,46,96,8,3,3,2,1,1,1,1,1,1,1,1
890,46,97,14,8,3,3,4,3,1,1,1,1,2,1
1058,47,93,8,3,3,2,1,1,1,1,1,1,1,1
1005,47,96,8,3,3,2,1,1,1,1,1,1,1,1
923,47,97,12,6,3,3,3,2,1,1,1,1,2,1
1076,48,93,21,8,9,4,3,4,1,3,5,1,3,1
979,48,96,27,7,12,8,3,2,2,5,5,2,5,3
920,48,97,22,10,8,4,4,5,1,3,4,1,3,1
1067,50,93,14,6,5,3,3,2,1,3,1,1,2,1
980,50,96,8,3,3,2,1,1,1,1,1,1,1,1
938,50,97,13,7,3,3,3,3,1,1,1,1,2,1
1050,51,93,13,4,7,2,2,1,1,3,3,1,1,1
830,51,96,29,6,14,9,3,2,1,5,5,4,5,4
936,51,97,23,10,8,5,4,5,1,1,5,2,4,1
1100,53,93,16,4,8,4,2,1,1,3,4,1,3,1
973,53,96,30,5,15,10,2,2,1,5,5,5,5,5
905,53,97,21,9,8,4,4,4,1,3,4,1,3,1
1077,60,93,19,8,7,4,3,4,1,3,3,1,3,1
846,60,96,31,9,14,8,3,4,2,5,5,4,5,3
889,60,97,22,10,8,4,4,5,1,3,4,1,3,1
814,66,93,8,3,3,2,1,1,1,1,1,1,1,1
858,66,96,8,3,3,2,1,1,1,1,1,1,1,1
901,66,97,9,3,3,3,1,1,1,1,1,1,2,1
815,72,93,8,3,3,2,1,1,1,1,1,1,1,1
824,72,96,8,3,3,2,1,1,1,1,1,1,1,1
869,72,97,8,3,3,2,1,1,1,1,1,1,1,1
787,74,93,17,10,5,2,4,5,1,2,2,1,1,1
989,74,96,35,14,12,9,4,5,5,5,4,3,5,4
929,74,97,23,9,8,6,3,5,1,4,3,1,5,1
1073,75,93,18,5,8,5,3,1,1,3,4,1,4,1
1025,75,96,25,7,11,7,3,2,2,4,5,2,3,4
930,75,97,22,9,7,6,4,4,1,4,2,1,5,1
1045,78,93,12,4,6,2,2,1,1,3,2,1,1,1
972,78,96,34,11,13,10,4,5,2,5,4,4,5,5
918,78,97,19,10,7,2,4,5,1,2,3,2,1,1
1098,83,93,16,8,5,3,3,4,1,3,1,1,2,1
1021,83,96,11,3,4,4,1,1,1,1,2,1,2,2
946,83,97,12,7,3,2,3,2,2,1,1,1,1,1
781,91,93,17,6,7,4,3,2,1,2,2,3,3,1
976,91,96,30,8,14,8,4,2,2,5,5,4,3,5
919,91,97,28,10,12,6,4,5,1,4,5,3,5,1
1066,92,93,13,3,8,2,1,1,1,3,4,1,1,1
975,92,96,29,6,15,8,3,2,1,5,5,5,3,5
925,92,97,19,7,10,2,2,4,1,3,4,3,1,1
1095,95,93,14,3,8,3,1,1,1,3,4,1,1,2
859,95,96,19,7,8,4,3,3,1,3,3,2,2,2
928,95,97,20,9,9,2,4,4,1,4,4,1,1,1
816,97,93,8,3,3,2,1,1,1,1,1,1,1,1
851,97,96,11,6,3,2,3,2,1,1,1,1,1,1
878,97,97,11,6,3,2,3,2,1,1,1,1,1,1
1053,98,93,8,3,3,2,1,1,1,1,1,1,1,1
1000,98,96,8,3,3,2,1,1,1,1,1,1,1,1
888,98,97,9,3,3,3,1,1,1,1,1,1,1,2
1074,100,93,8,3,3,2,1,1,1,1,1,1,1,1
828,100,96,8,3,3,2,1,1,1,1,1,1,1,1
902,100,97,8,3,3,2,1,1,1,1,1,1,1,1
1033,111,93,22,6,9,7,4,1,1,2,5,2,5,2
1024,111,96,30,11,10,9,3,3,5,5,3,2,5,4
945,111,97,30,11,10,9,4,4,3,5,4,1,5,4
1099,112,93,12,3,7,2,1,1,1,3,3,1,1,1
983,112,96,8,3,3,2,1,1,1,1,1,1,1,1
904,112,97,23,10,9,4,4,5,1,4,4,1,2,2
1037,116,93,22,10,8,4,4,5,1,2,5,1,3,1
862,116,96,32,11,13,8,4,5,2,5,5,3,5,3
870,116,97,23,10,9,4,4,5,1,3,5,1,3,1
1090,123,93,19,5,8,6,3,1,1,3,4,1,4,2
863,123,96,34,11,14,9,4,5,2,5,5,4,5,4
963,123,97,13,4,6,3,1,2,1,2,3,1,2,1
1080,125,93,15,7,6,2,3,2,2,2,3,1,1,1
969,125,96,36,12,14,10,4,5,3,5,4,5,5,5
957,125,97,27,10,10,7,4,4,2,5,4,1,4,3
1069,128,93,9,3,4,2,1,1,1,2,1,1,1,1
1008,128,96,8,3,3,2,1,1,1,1,1,1,1,1
962,128,97,8,3,3,2,1,1,1,1,1,1,1,1
1043,130,93,19,9,7,3,3,5,1,3,3,1,2,1
1004,130,96,20,8,8,4,3,3,2,4,3,1,3,1
931,130,97,21,10,7,4,4,5,1,3,3,1,3,1
810,133,93,21,5,9,7,2,1,2,3,5,1,5,2
990,133,96,19,5,8,6,1,2,2,3,3,2,3,3
903,133,97,26,10,10,6,4,5,1,4,5,1,5,1
1101,139,93,16,6,6,4,3,2,1,3,2,1,3,1
996,139,96,29,10,10,9,4,3,3,5,3,2,5,4
952,139,97,29,11,11,7,4,5,2,4,5,2,4,3
801,142,93,12,5,5,2,2,2,1,1,2,2,1,1
845,142,96,29,8,11,10,3,3,2,4,4,3,5,5
961,142,97,23,10,8,5,4,5,1,3,3,2,3,2
1088,143,93,18,8,6,4,3,4,1,3,2,1,3,1
985,143,96,21,10,5,6,4,2,4,2,1,2,5,1
865,143,97,21,10,7,4,4,5,1,3,3,1,3,1
1086,147,93,18,7,7,4,4,2,1,4,2,1,3,1
841,147,96,25,10,9,6,4,3,3,3,5,1,5,1
954,147,97,19,7,8,4,3,2,2,4,3,1,3,1
1089,150,93,17,6,7,4,3,2,1,3,3,1,3,1
1014,150,96,17,4,9,4,2,1,1,3,4,2,2,2
895,150,97,24,9,11,4,3,5,1,4,5,2,3,1
782,155,93,18,8,7,3,4,2,2,2,4,1,2,1
833,155,96,25,10,9,6,4,3,3,5,3,1,5,1
917,155,97,21,9,8,4,4,4,1,3,4,1,3,1
1079,157,93,21,9,8,4,3,5,1,3,4,1,3,1
971,157,96,29,11,10,8,4,5,2,4,4,2,5,3
906,157,97,22,10,8,4,4,5,1,3,4,1,3,1
1032,159,93,17,6,8,3,4,1,1,3,4,1,2,1
857,159,96,27,9,11,7,4,3,2,3,5,3,3,4
948,159,97,17,3,11,3,1,1,1,5,5,1,1,2
1071,160,93,17,8,6,3,2,5,1,3,2,1,2,1
988,160,96,25,13,10,2,4,4,5,5,4,1,1,1
933,160,97,24,11,9,4,4,5,2,4,4,1,3,1
1085,172,93,18,7,7,4,3,3,1,3,3,1,3,1
1010,172,96,17,5,8,4,2,2,1,2,4,2,3,1
956,172,97,27,9,10,8,4,4,1,4,4,2,5,3
1034,179,93,22,10,8,4,4,5,1,3,4,1,3,1
838,179,96,27,11,10,6,4,5,2,5,4,1,5,1
877,179,97,22,10,8,4,4,5,1,3,4,1,3,1
1087,196,93,8,3,3,2,1,1,1,1,1,1,1,1
836,196,96,8,3,3,2,1,1,1,1,1,1,1,1
884,196,97,8,3,3,2,1,1,1,1,1,1,1,1
1093,199,93,8,3,3,2,1,1,1,1,1,1,1,1
1007,199,96,8,3,3,2,1,1,1,1,1,1,1,1
894,199,97,8,3,3,2,1,1,1,1,1,1,1,1
1046,203,93,8,3,3,2,1,1,1,1,1,1,1,1
832,203,96,19,8,8,3,3,4,1,2,4,2,2,1
958,203,97,8,3,3,2,1,1,1,1,1,1,1,1
1094,206,93,17,5,8,4,3,1,1,3,4,1,3,1
847,206,96,24,5,12,7,1,2,2,5,4,3,5,2
866,206,97,20,7,8,5,3,3,1,2,5,1,3,2
1103,213,93,20,9,7,4,3,5,1,3,3,1,3,1
1017,213,96,20,8,8,4,3,3,2,4,3,1,3,1
873,213,97,21,10,7,4,4,5,1,3,3,1,3,1
1035,223,93,14,3,7,4,1,1,1,3,3,1,3,1
982,223,96,25,7,10,8,2,3,2,5,3,2,5,3
900,223,97,18,7,7,4,3,3,1,3,3,1,3,1
1084,227,93,14,4,6,4,2,1,1,3,2,1,3,1
1018,227,96,11,3,5,3,1,1,1,2,2,1,2,1
960,227,97,18,3,8,7,1,1,1,3,3,2,4,3
1055,228,93,18,8,6,4,3,4,1,3,2,1,3,1
987,228,96,25,7,10,8,3,1,3,5,3,2,5,3
881,228,97,18,7,7,4,3,3,1,3,3,1,3,1
800,234,93,15,10,3,2,4,5,1,1,1,1,1,1
827,234,96,26,11,9,6,4,5,2,5,3,1,4,2
911,234,97,21,10,7,4,4,5,1,3,3,1,3,1
1036,235,93,8,3,3,2,1,1,1,1,1,1,1,1
1015,235,96,8,3,3,2,1,1,1,1,1,1,1,1
872,235,97,8,3,3,2,1,1,1,1,1,1,1,1
813,237,93,21,6,9,6,3,2,1,4,4,1,5,1
834,237,96,25,11,11,3,4,5,2,5,4,2,2,1
926,237,97,20,6,8,6,3,2,1,3,4,1,4,2
1104,238,93,19,9,6,4,3,5,1,3,2,1,3,1
1016,238,96,17,8,6,3,3,3,2,3,2,1,2,1
891,238,97,21,10,7,4,4,5,1,3,3,1,3,1
804,239,93,17,8,6,3,4,3,1,2,3,1,2,1
837,239,96,25,10,9,6,3,5,2,5,3,1,5,1
949,239,97,15,4,7,4,2,1,1,3,3,1,2,2
1028,240,93,15,6,6,3,1,3,2,2,3,1,2,1
984,240,96,30,9,12,9,4,3,2,5,4,3,5,4
924,240,97,23,10,9,4,4,5,1,3,5,1,3,1
803,246,93,22,4,10,8,1,1,2,4,5,1,5,3
1012,246,96,8,3,3,2,1,1,1,1,1,1,1,1
939,246,97,20,8,8,4,3,4,1,3,4,1,3,1
1040,248,93,18,7,7,4,4,2,1,3,3,1,3,1
995,248,96,17,5,7,5,2,1,2,3,3,1,2,3
896,248,97,20,9,7,4,3,5,1,3,3,1,3,1
1081,252,93,18,6,8,4,3,2,1,3,4,1,3,1
966,252,96,34,13,12,9,4,5,4,5,4,3,5,4
910,252,97,25,10,9,6,4,5,1,4,4,1,5,1
1072,253,93,8,3,3,2,1,1,1,1,1,1,1,1
999,253,96,8,3,3,2,1,1,1,1,1,1,1,1
882,253,97,8,3,3,2,1,1,1,1,1,1,1,1
1091,254,93,20,9,7,4,3,5,1,3,3,1,3,1
1001,254,96,21,9,8,4,4,3,2,4,3,1,3,1
935,254,97,21,10,7,4,4,5,1,3,3,1,3,1
784,257,93,15,10,3,2,4,5,1,1,1,1,1,1
1009,257,96,8,3,3,2,1,1,1,1,1,1,1,1
909,257,97,17,7,7,3,3,3,1,3,3,1,2,1
818,264,93,23,10,9,4,4,5,1,3,5,1,3,1
848,264,96,28,11,9,8,4,5,2,3,4,2,5,3
953,264,97,22,10,8,4,3,5,2,3,4,1,2,2
809,276,93,22,7,9,6,3,3,1,4,4,1,5,1
861,276,96,18,6,6,6,2,2,2,2,3,1,5,1
937,276,97,11,3,3,5,1,1,1,1,1,1,4,1
1057,281,93,19,9,6,4,3,5,1,3,2,1,3,1
968,281,96,22,9,7,6,4,3,2,3,3,1,5,1
893,281,97,21,10,7,4,4,5,1,3,3,1,3,1
1078,283,93,16,6,6,4,3,2,1,3,2,1,3,1
993,283,96,22,11,7,4,4,5,2,3,3,1,2,2
947,283,97,22,9,8,5,4,4,1,3,4,1,2,3
785,284,93,24,10,9,5,4,5,1,3,5,1,4,1
860,284,96,30,11,10,9,4,5,2,5,3,2,5,4
874,284,97,22,10,8,4,4,5,1,4,3,1,3,1
1097,285,93,20,9,7,4,3,5,1,3,3,1,3,1
965,285,96,33,11,12,10,4,5,2,5,4,3,5,5
864,285,97,24,10,10,4,4,5,1,4,5,1,3,1
819,292,93,18,10,5,3,4,5,1,2,2,1,2,1
835,292,96,24,9,9,6,4,3,2,5,3,1,5,1
927,292,97,20,10,6,4,4,5,1,3,2,1,3,1
1039,293,93,15,3,8,4,1,1,1,2,5,1,3,1
1023,293,96,15,3,8,4,1,1,1,2,4,2,2,2
981,293,97,23,8,9,6,4,3,1,4,4,1,5,1
1075,296,93,11,3,5,3,1,1,1,3,1,1,2,1
856,296,96,12,3,6,3,1,1,1,3,2,1,2,1
907,296,97,14,6,6,2,2,3,1,3,2,1,1,1
1065,300,93,18,8,6,4,2,5,1,3,2,1,3,1
977,300,96,35,12,13,10,4,5,3,5,5,3,5,5
934,300,97,22,10,8,4,4,5,1,4,3,1,3,1
1059,301,93,20,8,8,4,3,4,1,3,4,1,3,1
852,301,96,25,9,10,6,3,4,2,5,4,1,5,1
922,301,97,23,10,8,5,4,5,1,4,3,1,4,1
1083,302,93,17,6,7,4,3,2,1,3,3,1,3,1
1013,302,96,8,3,3,2,1,1,1,1,1,1,1,1
951,302,97,19,5,10,4,3,1,1,4,5,1,3,1
789,303,93,17,10,5,2,4,5,1,2,2,1,1,1
967,303,96,34,13,12,9,4,5,4,5,4,3,5,4
883,303,97,23,10,9,4,4,5,1,4,3,2,3,1
780,306,93,14,5,4,5,1,3,1,1,2,1,4,1
978,306,96,8,3,3,2,1,1,1,1,1,1,1,1
879,306,97,10,3,3,4,1,1,1,1,1,1,3,1
1063,310,93,18,6,7,5,3,1,2,3,3,1,4,1
1002,310,96,28,8,12,8,2,3,3,5,4,3,4,4
914,310,97,20,10,6,4,4,5,1,3,2,1,3,1
1060,311,93,17,6,7,4,3,2,1,3,3,1,3,1
994,311,96,24,6,9,9,2,2,2,3,3,3,5,4
955,311,97,25,9,10,6,4,3,2,4,4,2,3,3
1096,315,93,16,6,6,4,3,2,1,3,2,1,3,1
1022,315,96,11,3,4,4,1,1,1,2,1,1,3,1
932,315,97,24,9,9,6,4,4,1,4,4,1,5,1
1044,317,93,22,10,8,4,4,5,1,3,4,1,3,1
843,317,96,32,11,12,9,4,5,2,5,5,2,5,4
892,317,97,22,10,8,4,4,5,1,3,4,1,3,1
1102,321,93,15,3,8,4,1,1,1,3,4,1,3,1
1020,321,96,11,3,6,2,1,1,1,2,3,1,1,1
950,321,97,20,4,12,4,1,2,1,5,5,2,2,2
1061,324,93,20,9,7,4,3,5,1,3,3,1,3,1
986,324,96,27,12,9,6,4,5,3,5,3,1,5,1
887,324,97,21,10,7,4,4,5,1,3,3,1,3,1
1030,326,93,20,10,7,3,4,5,1,3,3,1,2,1
855,326,96,23,11,6,6,4,5,2,2,3,1,5,1
875,326,97,21,10,7,4,4,5,1,3,3,1,3,1
1041,337,93,21,9,6,6,3,5,1,2,3,1,5,1
840,337,96,32,11,11,10,4,5,2,5,4,2,5,5
868,337,97,22,7,9,6,3,3,1,4,4,1,5,1
1051,338,93,17,5,7,5,2,2,1,3,3,1,4,1
825,338,96,25,11,8,6,4,5,2,4,3,1,5,1
899,338,97,22,10,8,4,4,5,1,4,3,1,3,1
806,339,93,28,12,10,6,4,5,3,4,5,1,5,1
829,339,96,31,11,12,8,4,5,2,5,4,3,5,3
942,339,97,25,11,11,3,5,5,1,4,4,3,2,1
1029,341,93,22,10,8,4,4,5,1,2,5,1,3,1
1006,341,96,23,8,8,7,3,3,2,3,3,2,4,3
886,341,97,22,10,8,4,4,5,1,3,4,1,3,1
1049,349,93,8,3,3,2,1,1,1,1,1,1,1,1
839,349,96,14,8,4,2,2,4,2,2,1,1,1,1
964,349,97,8,3,3,2,1,1,1,1,1,1,1,1
817,350,93,24,9,9,6,4,4,1,3,5,1,5,1
991,350,96,18,5,7,6,2,2,1,3,3,1,5,1
959,350,97,30,11,12,7,4,5,2,5,5,2,5,2
1092,352,93,21,9,8,4,3,5,1,3,4,1,3,1
970,352,96,26,5,11,10,3,1,1,5,4,2,5,5
940,352,97,16,9,4,3,4,4,1,2,1,1,2,1
1068,355,93,24,10,9,5,4,5,1,4,4,1,3,2
997,355,96,29,11,12,6,4,4,3,5,3,4,3,3
913,355,97,21,10,7,4,4,5,1,3,3,1,3,1
1031,357,93,23,9,9,5,4,4,1,4,4,1,4,1
849,357,96,25,7,10,8,3,2,2,4,4,2,5,3
871,357,97,23,9,10,4,4,4,1,4,4,2,3,1
783,359,93,29,11,10,8,4,5,2,2,5,3,5,3
854,359,96,29,11,10,8,4,5,2,4,4,2,5,3
908,359,97,25,10,8,7,4,5,1,3,3,2,4,3
1048,364,93,22,8,8,6,4,3,1,3,4,1,5,1
853,364,96,28,9,11,8,4,4,1,5,4,2,5,3
944,364,97,21,6,10,5,3,2,1,4,4,2,3,2
1056,365,93,22,9,8,5,3,5,1,3,4,1,4,1
992,365,96,28,9,10,9,4,3,2,5,3,2,5,4
921,365,97,24,10,8,6,4,5,1,4,3,1,5,1
1052,367,93,23,10,8,5,4,5,1,3,4,1,4,1
1003,367,96,27,11,9,7,4,4,3,2,5,2,5,2
867,367,97,22,10,6,6,4,5,1,2,3,1,5,1
1047,369,93,22,10,8,4,4,5,1,4,3,1,3,1
974,369,96,29,12,11,6,4,5,3,5,3,3,5,1
941,369,97,21,10,7,4,4,5,1,3,3,1,3,1
1062,371,93,20,9,7,4,3,5,1,3,3,1,3,1
844,371,96,31,11,12,8,4,5,2,5,4,3,5,3
897,371,97,21,10,7,4,4,5,1,3,3,1,3,1
1042,374,93,25,12,8,5,5,5,2,3,4,1,4,1
826,374,96,29,13,10,6,5,5,3,5,4,1,4,2
876,374,97,25,12,8,5,5,5,2,3,4,1,3,2
1070,380,93,10,3,5,2,1,1,1,3,1,1,1,1
842,380,96,24,9,9,6,4,3,2,4,3,2,5,1
943,380,97,19,7,10,2,2,3,2,3,5,2,1,1